"id","year","marstat","emergency_savings","married"
548,2012,1,0,1
549,2012,1,0,1
550,2012,1,0,1
552,2012,1,1,1
553,2012,1,1,1
554,2012,1,1,1
555,2012,2,0,0
557,2012,1,1,1
558,2012,1,0,1
559,2012,1,0,1
560,2012,0,0,0
561,2012,0,0,0
562,2012,1,1,1
564,2012,1,1,1
565,2012,0,1,0
567,2012,1,0,1
568,2012,1,0,1
570,2012,1,0,1
571,2012,1,1,1
573,2012,1,1,1
576,2012,1,1,1
579,2012,1,1,1
582,2012,3,1,0
583,2012,1,0,1
585,2012,1,0,1
590,2012,1,0,1
591,2012,3,0,0
592,2012,2,0,0
593,2012,2,0,0
594,2012,1,1,1
597,2012,0,0,0
604,2012,1,1,1
605,2012,1,1,1
606,2012,1,1,1
608,2012,1,0,1
609,2012,3,0,0
611,2012,1,1,1
612,2012,0,1,0
613,2012,3,0,0
614,2012,1,1,1
615,2012,1,0,1
619,2012,3,0,0
620,2012,1,1,1
621,2012,2,1,0
622,2012,1,0,1
623,2012,3,0,0
624,2012,1,1,1
625,2012,1,0,1
626,2012,3,0,0
627,2012,2,0,0
628,2012,3,1,0
629,2012,1,0,1
630,2012,1,0,1
631,2012,1,1,1
632,2012,1,0,1
635,2012,1,1,1
636,2012,3,0,0
638,2012,1,1,1
639,2012,3,0,0
640,2012,1,1,1
641,2012,3,0,0
642,2012,1,0,1
644,2012,1,1,1
645,2012,1,1,1
646,2012,0,0,0
647,2012,1,0,1
648,2012,3,0,0
649,2012,1,1,1
650,2012,3,0,0
653,2012,3,1,0
654,2012,1,0,1
655,2012,1,1,1
656,2012,1,1,1
657,2012,1,1,1
658,2012,3,1,0
659,2012,1,0,1
662,2012,1,0,1
664,2012,6,0,0
665,2012,1,1,1
666,2012,0,0,0
667,2012,1,0,1
668,2012,1,0,1
669,2012,1,0,1
670,2012,1,1,1
671,2012,1,0,1
672,2012,6,1,0
673,2012,1,1,1
674,2012,1,0,1
675,2012,0,0,0
676,2012,1,0,1
677,2012,1,1,1
678,2012,1,1,1
679,2012,1,1,1
681,2012,1,0,1
683,2012,3,0,0
684,2012,1,0,1
685,2012,0,0,0
686,2012,1,0,1
687,2012,0,0,0
688,2012,3,0,0
690,2012,3,0,0
692,2012,3,0,0
697,2012,1,0,1
698,2012,1,0,1
699,2012,6,0,0
701,2012,0,0,0
702,2012,3,0,0
703,2012,3,1,0
704,2012,1,0,1
706,2012,3,0,0
707,2012,3,1,0
708,2012,3,0,0
709,2012,3,0,0
711,2012,0,0,0
712,2012,1,0,1
714,2012,2,0,0
715,2012,1,0,1
716,2012,0,1,0
717,2012,1,1,1
719,2012,1,1,1
720,2012,3,0,0
721,2012,1,0,1
723,2012,6,0,0
724,2012,1,1,1
725,2012,1,0,1
728,2012,3,1,0
729,2012,1,1,1
730,2012,1,1,1
731,2012,3,1,0
732,2012,1,1,1
733,2012,1,0,1
735,2012,3,0,0
736,2012,1,1,1
737,2012,1,1,1
739,2012,1,1,1
740,2012,3,1,0
742,2012,1,1,1
743,2012,1,1,1
744,2012,6,0,0
745,2012,1,1,1
746,2012,1,0,1
747,2012,0,1,0
748,2012,3,0,0
751,2012,0,0,0
752,2012,3,1,0
753,2012,1,0,1
755,2012,1,0,1
756,2012,3,0,0
757,2012,1,0,1
758,2012,2,1,0
759,2012,3,0,0
761,2012,1,0,1
762,2012,1,0,1
763,2012,3,0,0
764,2012,3,0,0
768,2012,1,0,1
769,2012,0,0,0
770,2012,3,0,0
772,2012,3,1,0
775,2012,1,1,1
776,2012,1,1,1
777,2012,1,1,1
778,2012,1,0,1
779,2012,3,0,0
784,2012,0,1,0
789,2012,1,1,1
791,2012,0,1,0
792,2012,3,0,0
793,2012,0,1,0
796,2012,1,1,1
797,2012,1,1,1
798,2012,1,0,1
799,2012,1,0,1
800,2012,3,1,0
801,2012,1,0,1
802,2012,1,0,1
803,2012,1,0,1
804,2012,3,0,0
807,2012,1,0,1
810,2012,1,1,1
811,2012,1,0,1
812,2012,1,0,1
813,2012,1,1,1
814,2012,3,1,0
817,2012,1,1,1
818,2012,1,0,1
820,2012,1,0,1
821,2012,3,1,0
825,2012,1,1,1
827,2012,1,1,1
828,2012,3,0,0
829,2012,3,0,0
830,2012,1,0,1
832,2012,2,0,0
833,2012,1,0,1
834,2012,3,0,0
835,2012,1,0,1
836,2012,3,0,0
838,2012,0,1,0
839,2012,1,0,1
841,2012,6,0,0
842,2012,3,0,0
843,2012,2,0,0
844,2012,1,0,1
845,2012,3,0,0
847,2012,1,0,1
848,2012,3,0,0
849,2012,0,0,0
850,2012,1,0,1
851,2012,1,0,1
852,2012,3,0,0
854,2012,1,0,1
855,2012,1,1,1
856,2012,3,0,0
857,2012,3,1,0
859,2012,3,0,0
860,2012,1,1,1
861,2012,0,1,0
862,2012,1,1,1
863,2012,1,0,1
866,2012,3,1,0
868,2012,3,0,0
871,2012,1,1,1
872,2012,1,1,1
874,2012,1,1,1
877,2012,1,0,1
879,2012,1,0,1
880,2012,1,1,1
881,2012,1,1,1
882,2012,1,1,1
883,2012,0,1,0
884,2012,1,1,1
885,2012,0,0,0
886,2012,1,0,1
887,2012,1,1,1
888,2012,1,1,1
889,2012,1,0,1
890,2012,1,0,1
891,2012,3,0,0
892,2012,3,1,0
893,2012,1,1,1
896,2012,1,0,1
897,2012,0,1,0
898,2012,1,0,1
899,2012,1,1,1
900,2012,1,0,1
902,2012,1,0,1
903,2012,1,0,1
906,2012,3,1,0
907,2012,1,1,1
908,2012,1,0,1
909,2012,1,0,1
910,2012,2,0,0
912,2012,1,1,1
913,2012,1,0,1
914,2012,1,1,1
